system_name,id,staged_system_id,colour_name,sku,sku_suffix,image_url,is_stocked,parser_notes,extracted_at,sort_order,verification_status,reviewer_notes,created_at,updated_at
Haven,,,DuraXP,,,,,"{""source_pages"": ""6-7"", ""note"": ""face/finish option""}",,1,pending_review,,,
Haven,,,SPM,,,,,"{""source_pages"": ""6-7"", ""note"": ""face/finish option""}",,2,pending_review,,,
Haven,,,Tassie Oak,,,,,"{""source_pages"": ""6-7"", ""note"": ""face/finish option""}",,3,pending_review,,,
Haven,,,Merbau,,,,,"{""source_pages"": ""6-7"", ""note"": ""face/finish option""}",,4,pending_review,,,
Haven,,,Blackbutt,,,,,"{""source_pages"": ""6-7"", ""note"": ""face/finish option""}",,5,pending_review,,,
Haven,,,Clear,,,,,"{""source_pages"": ""6-7"", ""note"": ""glass option""}",,6,pending_review,,,
Haven,,,Cathedral,,,,,"{""source_pages"": ""6-7"", ""note"": ""glass option""}",,7,pending_review,,,
Haven,,,Grey Tint,,,,,"{""source_pages"": ""6-7"", ""note"": ""glass option""}",,8,pending_review,,,
Haven,,,Translucent,,,,,"{""source_pages"": ""6-7"", ""note"": ""glass option""}",,9,pending_review,,,
Haven,,,Narrow Lines,,,,,"{""source_pages"": ""6-7"", ""note"": ""glass option""}",,10,pending_review,,,
Savoy 1200,,,SPM,,,,,"{""source_pages"": ""8-9"", ""note"": ""face/finish option""}",,11,pending_review,,,
Savoy 1200,,,Tassie Oak,,,,,"{""source_pages"": ""8-9"", ""note"": ""face/finish option""}",,12,pending_review,,,
Savoy 1200,,,Merbau,,,,,"{""source_pages"": ""8-9"", ""note"": ""face/finish option""}",,13,pending_review,,,
Savoy 1200,,,Blackbutt,,,,,"{""source_pages"": ""8-9"", ""note"": ""face/finish option""}",,14,pending_review,,,
Savoy 1200,,,Clear,,,,,"{""source_pages"": ""8-9"", ""note"": ""glass option""}",,15,pending_review,,,
Savoy 1200,,,Cathedral,,,,,"{""source_pages"": ""8-9"", ""note"": ""glass option""}",,16,pending_review,,,
