system_name,id,staged_system_id,name,profile_name,product_code,dimensions,length_m,sheet_format,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,bal_rating,uom,image_url,website_url,parser_notes,extracted_at,sort_order,verification_status,reviewer_notes,created_at,updated_at
Haven,,,HAV22,HAV22,HAV22,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,1,pending_review,,,
Haven,,,HAV44,HAV44,HAV44,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,2,pending_review,,,
Haven,,,HAV45,HAV45,HAV45,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,3,pending_review,,,
Haven,,,HAV50,HAV50,HAV50,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,4,pending_review,,,
Haven,,,HAV66,HAV66,HAV66,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,5,pending_review,,,
Haven,,,HAV67,HAV67,HAV67,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,6,pending_review,,,
Haven,,,HAV88,HAV88,HAV88,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,7,pending_review,,,
Haven,,,HAV89,HAV89,HAV89,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,8,pending_review,,,
Haven,,,HAV99,HAV99,HAV99,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,9,pending_review,,,
Haven,,,HAV100,HAV100,HAV100,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""6-7""}",,10,pending_review,,,
Savoy 1200,,,XS24,XS24,XS24,"Standard Door Size: 2040x1200x40, 2340x1200x40; Custom Door Size: Min 1990x1100x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""8-9""}",,11,pending_review,,,
Savoy 1200,,,XS26,XS26,XS26,"Standard Door Size: 2040x1200x40, 2340x1200x40; Custom Door Size: Min 1990x1100x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""8-9""}",,12,pending_review,,,
Savoy 1200,,,XS28,XS28,XS28,"Standard Door Size: 2040x1200x40, 2340x1200x40; Custom Door Size: Min 1990x1100x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""8-9""}",,13,pending_review,,,
Savoy 1200,,,XS45,XS45,XS45,"Standard Door Size: 2040x1200x40, 2340x1200x40; Custom Door Size: Min 1990x1100x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""8-9""}",,14,pending_review,,,
Savoy 820,,,XS24,XS24,XS24,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1100x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""10-11""}",,15,pending_review,,,
Savoy 820,,,XS26,XS26,XS26,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1100x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""10-11""}",,16,pending_review,,,
Savoy 820,,,XS28,XS28,XS28,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1100x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""10-11""}",,17,pending_review,,,
Savoy 820,,,XS45,XS45,XS45,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1100x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""10-11""}",,18,pending_review,,,
Savoy 820,,,XS11,XS11,XS11,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1100x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""10-11""}",,19,pending_review,,,
Linear Entrance,,,XLR120,XLR120,XLR120,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,20,pending_review,,,
