id,manufacturer_id,source_document_id,source_chunk_id,production_system_id,name,product_code,slug,category,subcategory,description,dimensions,length_m,double_sided,sheet_format,hero_image_url,website_url,source_label,source_url,fire_rating,bal_rating,acoustic_rating,moisture_resistant,structural_grade,install_guide_url,tech_data_url,notes,parser_notes,sort_order,extraction_confidence,extracted_at,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
,,,,,Haven,,haven,Entrance Doors,,Entrance door range with HMR MDF solid core.,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""6-7""}",1,,,pending_review,,,,,
,,,,,Savoy 1200,,savoy-1200,Entrance Doors,,Entrance door range with engineered joinery construction.,"Standard Door Size: 2040x1200x40, 2340x1200x40; Custom Door Size: Min 1990x1100x40 - Max 2400x1200x40",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""8-9""}",2,,,pending_review,,,,,
,,,,,Savoy 820,,savoy-820,Entrance Doors,,Entrance door range with engineered joinery construction.,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1100x40,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""10-11""}",3,,,pending_review,,,,,
,,,,,Linear Entrance,,linear-entrance,Entrance Doors,,Entrance door range with HMR MDF solid core.,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""12-13""}",4,,,pending_review,,,,,
,,,,,Joinery Entrance,,joinery-entrance,Entrance Doors,,Entrance door range with engineered joinery construction.,"Standard Door Size: 2040x620/720/770/820x40 (JST1, JST10); 2040x1200x40 (JST1); 2040x820x40 (JST2, JST6, XL10); Custom Door Size: Min 1990x805x40 - Max 2400x1200x40 (JST1, JST2); Standard Sidelite Size: 2040x400x40 (JST5, JST11); Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40 (JST11)",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""14-15""}",5,,,pending_review,,,,,
,,,,,Illusion,,illusion,Entrance Doors,,Entrance door range with engineered joinery construction.,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""16-17""}",6,,,pending_review,,,,,
,,,,,Vaucluse,,vaucluse,Entrance Doors,,Entrance door range with HMR MDF solid core.,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""18-19""}",7,,,pending_review,,,,,
,,,,,Newington,,newington,Entrance Doors,,Entrance door range with HMR MDF solid core.,"Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x200x40 (XN14), 2040x400x40 (XN9, XN11, XN12); Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""20-21""}",8,,,pending_review,,,,,
,,,,,Regency,,regency,Entrance Doors,,Entrance door range with HMR MDF solid core.,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x520x40",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""22-23""}",9,,,pending_review,,,,,
,,,,,Nexus,,nexus,Entrance Doors,,Entrance door range with HMR MDF solid core.,"Standard Door Size: 2040x820x40 (NEX40 excluded), 2040x1200x40 (NEX40 only); Custom Door Size: Min 1990x805x40 - Max 2400x1200x40 (NEX40 excluded), Min 1990x1020x40 - Max 2400x1200x40 (NEX40 only)",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""24-25""}",10,,,pending_review,,,,,
