system_name,id,manufacturer_id,source_document_id,source_chunk_id,production_component_id,sku,name,description,category,uom,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,material,finish,colour,profile,texture,coverage_m2,image_url,website_url,parser_notes,extracted_at,sort_order,extraction_confidence,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
Stria™ Cladding Fine Texture,,,,,,306281,Hardie™ 14mm Aluminium External Slimline Corner,"A sleek external corner with a sharp, minimal edge.",Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""17""}",,1,1.0,pending_review,,,,,
Stria™ Cladding Fine Texture,,,,,,305519,"Hardie™ 14mm Aluminium External Box Corner 3,000mm",A neat aluminium external corner for 14mm thick boards.,Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""17""}",,2,1.0,pending_review,,,,,
Stria™ Cladding Fine Texture,,,,,,305518,"Hardie™ 14mm Aluminium Internal Corner 3,000mm",A neat aluminium internal corner for 14mm thick boards.,Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""17""}",,3,1.0,pending_review,,,,,
Stria™ Cladding Fine Texture,,,,,,305564,"Hardie™ 75x75mm COLORBOND® Corner Flashing 3,000mm",A COLORBOND® corner flashing for use behind cladding at corners.,Accessory,,3000,75,75,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,COLORBOND®,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""17""}",,4,1.0,pending_review,,,,,
Stria™ Cladding Fine Texture,,,,,,306128,"Hardie™ 14mm Aluminium Trimline Joint Flashing 3,000mm - Jointer",A horizontal jointer for additional rows of Oblique or Stria in vertical orientation.,Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""17""}",,5,1.0,pending_review,,,,,
Stria™ Cladding Fine Texture,,,,,,306253,Hardie™ 35mm PVC Cavity Vent Strip,A perforated PVC extrusion installed at the base of the wall for drainage and ventilation.,Accessory,,3000,,,,,,,,,,,,pack,25,,Selling Unit: 25 per pack,PVC,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""17""}",,7,1.0,pending_review,,,,,
Stria™ Cladding Fine Texture,,,,,,306250,Hardie™ Structural Batten,A castellated structural timber batten that enables vertical installation and facilitates drainage.,Accessory,,,,,,,,,,,,,,pack,4,,Selling Unit: 4 per pack,timber,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""17""}",,8,1.0,pending_review,,,,,
Stria™ Cladding Smooth,,,,,,306281,Hardie™ 14mm Aluminium External Slimline Corner,"A sleek external corner with a sharp, minimal edge.",Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""19""}",,13,1.0,pending_review,,,,,
Stria™ Cladding Smooth,,,,,,305519,"Hardie™ 14mm Aluminium External Box Corner 3,000mm",A neat aluminium external corner for 14mm thick boards.,Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""19""}",,14,1.0,pending_review,,,,,
Stria™ Cladding Smooth,,,,,,305518,"Hardie™ 14mm Aluminium Internal Corner 3,000mm",A neat aluminium internal corner for 14mm thick boards.,Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""19""}",,15,1.0,pending_review,,,,,
Axon™ Cladding,,,,,,306100,"Hardie™ 9mm Aluminium External Square Corner 3,000mm",Aluminium extrusion that creates a square edge in external corner.,Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""21""}",,25,1.0,pending_review,,,,,
Axon™ Cladding,,,,,,305520,"Hardie™ 9mm Aluminium Internal Corner 3,000mm","A ready to paint aluminium extrusion, to be used at internal corner junctions.",Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,ready to paint,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""21""}",,26,1.0,pending_review,,,,,
Axon™ Cladding,,,,,,306190,Hardie™ 9mm Aluminium Recessed Horizontal Jointer,A recessed horizontal jointer that creates a 6mm horizontal shadow line.,Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""21""}",,28,1.0,pending_review,,,,,
Axon™ Cladding,,,,,,306192,Hardie™ 9mm Aluminium Base Slimline Starter,Aluminium base trim that creates a neat edge whilst supporting the bottom of the panel.,Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""21""}",,30,1.0,pending_review,,,,,
Axon™ Cladding,,,,,,304560,Hardie™ 50mm Foam Back Sealing Tape 25m roll,A self-adhesive foam tape to help improve water tightness.,Accessory,each,,50,,,,,,25,,,,,,1,,Selling Unit: 1 each,Foam,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""21""}",,36,1.0,pending_review,,,,,
Hardie™ Brushed Concrete Cladding,,,,,,306102,Hardie™ 9mm Aluminium External Slimline Corner,"A sleek external corner with a sharp, minimal edge.",Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""23""}",,37,1.0,pending_review,,,,,
Hardie™ Brushed Concrete Cladding,,,,,,306190,Hardie™ 9mm Aluminium Recessed Horizontal Jointer,A recessed horizontal jointer that creates a 6mm horizontal shadow line.,Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""23""}",,39,1.0,pending_review,,,,,
Hardie™ Brushed Concrete Cladding,,,,,,304560,Hardie™ 50mm Foam Back Sealing Tape 25m roll,A self-adhesive foam tape to help improve water tightness.,Accessory,each,,50,,,,,,25,,,,,,1,,Selling Unit: 1 each,Foam,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""23""}",,49,1.0,pending_review,,,,,
Hardie™ Fine Texture Cladding,,,,,,306102,Hardie™ 9mm Aluminium External Slimline Corner,"A sleek external corner with a sharp, minimal edge.",Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""25""}",,50,1.0,pending_review,,,,,
Hardie™ Fine Texture Cladding,,,,,,306190,Hardie™ 9mm Aluminium Recessed Horizontal Jointer,A recessed horizontal jointer that creates a 6mm horizontal shadow line.,Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""25""}",,52,1.0,pending_review,,,,,
Hardie™ Fine Texture Cladding,,,,,,304560,Hardie™ 50mm Foam Back Sealing Tape 25m roll,A self-adhesive foam tape to help improve water tightness.,Accessory,each,,50,,,,,,25,,,,,,1,,Selling Unit: 1 each,Foam,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""25""}",,62,1.0,pending_review,,,,,
Hardie™ Oblique™ Cladding,,,,,,306281,Hardie™ 14mm Aluminium External Slimline Corner,"A sleek external corner with a sharp, minimal edge.",Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""27""}",,63,1.0,pending_review,,,,,
Hardie™ Oblique™ Cladding,,,,,,305519,"Hardie™ 14mm Aluminium External Box Corner 3,000mm",A neat aluminium external corner for 14mm thick boards.,Accessory,,3000,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""27""}",,64,1.0,pending_review,,,,,
Hardie™ Oblique™ Cladding,,,,,,306250,Hardie™ Structural Batten,A castellated structural timber batten enabling vertical installation.,Accessory,,,,,,,,,,,,,,pack,4,,Selling Unit: 4 per pack,timber,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""27""}",,70,1.0,pending_review,,,,,
Linea™ Weatherboard,,,,,,305512,"Linea™ Aluminium External Slimline Boxed Corner 3,600mm Long",A ready to paint aluminium extrusion for external boxed corners.,Accessory,,3600,,,,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,ready to paint,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""29""}",,75,1.0,pending_review,,,,,
Linea™ Weatherboard,,,,,,305511,"Linea™ 16mm Aluminium Internal Corner 3,600mm",A ready to paint aluminium extrusion for internal corners.,Accessory,,3600,,,16,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,ready to paint,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""29""}",,76,1.0,pending_review,,,,,
Linea™ Weatherboard,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""29""}",,86,1.0,pending_review,,,,,
Matrix™ Cladding,,,,,,306100,"Hardie™ 9mm Aluminium External Square Corner 3,000mm",Aluminium extrusion that creates a square edge in external corner.,Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""31""}",,88,1.0,pending_review,,,,,
Matrix™ Cladding,,,,,,305555,"Hardie™ 18mm PVC Cavity Vent Strip 3,000mm",A perforated PVC extrusion used at the bottom of walls.,Accessory,,3000,,,18,,,,,,,,,pack,25,,Selling Unit: 25 per pack,PVC,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""31""}",,89,1.0,pending_review,,,,,
Matrix™ Cladding,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""31""}",,98,1.0,pending_review,,,,,
Hardie™ Axent™ Trim,,,,,,300660,Hardie™ Blade 185mm,A poly-diamond blade for fast and clean cutting of fibre cement products.,Tool,each,,,,,,,185,,,,,,,1,,Selling Unit: 1 each,,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""33""}",,101,1.0,pending_review,,,,,
