system_name,id,manufacturer_id,source_document_id,source_chunk_id,production_component_id,sku,name,description,category,uom,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,material,finish,colour,profile,texture,coverage_m2,image_url,website_url,parser_notes,extracted_at,sort_order,extraction_confidence,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
RegalFrame metal doorframes to suit brick construction,,,,,,,Hinges,Standard welded 1.6 zinc-plated 100 x 75 hinges are used on all frames. Other hinges are available on request.,Hardware,,100,75,,,,1.6,,,,,,,,,,,zinc-plated,zinc-plated,,,,,,,,,,,pending_review,,,,,
RegalFrame metal doorframes to suit brick construction,,,,,,,Rubber Buffers,Rubber buffers are used on all frames to protect the door and reduce noise.,Hardware,,,,,,,,,,,,,,,,,,rubber,,,,,,,,,,,,pending_review,,,,,
RegalFrame metal doorframes to suit brick construction,,,,,,,Striker Plate,Stainless steel striker is screwed into place with 2 stainless steel screws and comes with an adjustable tongue.,Hardware,,,,,,,,,,,,,,,,,,stainless steel,,,,,,,,,,,,pending_review,,,,,
RegalFrame metal doorframes to suit brick construction,,,,,,,Stainless Steel Screws,2 stainless steel screws for fixing the striker plate.,Fixings,,,,,,,,,,,2,,,,,,,stainless steel,,,,,,,,,,,,pending_review,,,,,
RegalFrame metal doorframes to suit brick construction,,,,,,,Temporary Bottom Rail,Zincanneal bottom rail used for maintaining the frame's integrity during transportation.,Rail,,,,,,,,,,,,,,,,,,Zincanneal,,,,,,,,,,,,pending_review,,,,,
RegalFrame metal doorframes to suit brick construction,,,,,,,Brick Ties,All welded frames are supplied with brick ties upon delivery.,Fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending_review,,,,,
RegalFrame metal doorframes to suit brick construction,,,,,,,40mm Tubular Mullion,Triple and quad frame configurations come with a 40mm tubular mullion.,Mullion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending_review,,,,,
RegalFrame metal doorframes to suit brick construction,,,,,,,Fixed Bottom Rail,Triple and quad frame configurations come with fixed bottom rail.,Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending_review,,,,,
RegalFrame metal doorframes to suit brick construction,,,,,,,Box Mullion,If a striker is required for the single door of a triple configuration a box mullion is required at an additional fee.,Mullion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending_review,,,,,
JDS Deluxe metal doorframes to suit brick construction,,,,,,,Hinges,Standard welded 1.6 zinc-plated 100 x 75 hinges are used on all frames. Other hinges are available on request.,Hardware,,100,75,,,,1.6,,,,,,,,,,,zinc-plated,zinc-plated,,,,,,,,,,,pending_review,,,,,
