system_name,id,staged_system_id,name,profile_name,product_code,dimensions,length_m,sheet_format,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,bal_rating,uom,image_url,website_url,parser_notes,extracted_at,sort_order,verification_status,reviewer_notes,created_at
RegalFrame metal doorframes to suit brick construction,,,Standard frame dimensions - 95mm back opening,Standard frame dimensions - 95mm back opening,,"Back Opening 95mm; A 29.5; section drawing includes 154mm, 50mm, 41mm, 32mm and 12mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 4""}",,,pending_review,,
RegalFrame metal doorframes to suit brick construction,,,Standard frame dimensions - 114mm back opening,Standard frame dimensions - 114mm back opening,,"Back Opening 114mm; A 20; section drawing includes 154mm, 50mm, 41mm, 32mm and 12mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 4""}",,,pending_review,,
RegalFrame metal doorframes to suit brick construction,,,Slider frame dimensions - 95mm back opening,Slider frame dimensions - 95mm back opening,,"Back Opening 95mm; A 29.5; section drawing includes 154mm, 50mm, 41mm, 32mm and 12mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 4""}",,,pending_review,,
RegalFrame metal doorframes to suit brick construction,,,Slider frame dimensions - 114mm back opening,Slider frame dimensions - 114mm back opening,,"Back Opening 114mm; A 20; section drawing includes 154mm, 50mm, 41mm, 32mm and 12mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 4""}",,,pending_review,,
JDS Deluxe metal doorframes to suit brick construction,,,Standard frame dimensions - 95mm back opening,Standard frame dimensions - 95mm back opening,,"Back Opening 95mm; A 115; B 143; section drawing includes 44mm, 36mm, 24mm, 14mm and 8mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 5""}",,,pending_review,,
JDS Deluxe metal doorframes to suit brick construction,,,Standard frame dimensions - 114mm back opening,Standard frame dimensions - 114mm back opening,,"Back Opening 114mm; A 134; B 162; section drawing includes 44mm, 36mm, 24mm, 14mm and 8mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 5""}",,,pending_review,,
JDS Deluxe metal doorframes to suit brick construction,,,Slider frame dimensions - 95mm back opening,Slider frame dimensions - 95mm back opening,,"Back Opening 95mm; A 33; B 143; section drawing includes 44mm, 41mm, 36mm, 24mm, 14mm and 8mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 5""}",,,pending_review,,
JDS Deluxe metal doorframes to suit brick construction,,,Slider frame dimensions - 114mm back opening,Slider frame dimensions - 114mm back opening,,"Back Opening 114mm; A 53; B 162; section drawing includes 44mm, 41mm, 36mm, 24mm, 14mm and 8mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 5""}",,,pending_review,,
JDS Modular metal doorframes to suit brick construction,,,Standard frame dimensions - 95mm back opening,Standard frame dimensions - 95mm back opening,,"Back Opening 95mm; A 25; section drawing includes 145mm, 42mm, 40mm, 12mm and 6mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 6""}",,,pending_review,,
JDS Modular metal doorframes to suit brick construction,,,Standard frame dimensions - 114mm back opening,Standard frame dimensions - 114mm back opening,,"Back Opening 114mm; A 15.5; section drawing includes 145mm, 42mm, 40mm, 12mm and 6mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 6""}",,,pending_review,,
JDS Modular metal doorframes to suit brick construction,,,Slider frame dimensions - 95mm back opening,Slider frame dimensions - 95mm back opening,,"Back Opening 95mm; A 25; section drawing includes 145mm, 61mm, 42mm, 40mm, 12mm and 6mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 6""}",,,pending_review,,
JDS Modular metal doorframes to suit brick construction,,,Slider frame dimensions - 114mm back opening,Slider frame dimensions - 114mm back opening,,"Back Opening 114mm; A 15.5; section drawing includes 145mm, 61mm, 42mm, 40mm, 12mm and 6mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 6""}",,,pending_review,,
Negative Rebate metal doorframes to suit brick construction,,,Negative Rebate frame dimensions - 92mm back opening,Negative Rebate frame dimensions - 92mm back opening,,"Back Opening 92mm; section drawing includes 122mm, 42mm, 40mm, 17mm, 14mm, 13mm and 10mm dimensions",,,,,,,,1.1,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 7""}",,,pending_review,,
RegalFrame knockdown doorframes to suit stud construction,,,Standard frame dimensions - 89mm back opening,Standard frame dimensions - 89mm back opening,,"Back Opening 89mm; A 32.5; Overall Dimension 154x62; section drawing includes 154mm, 62mm, 41mm, 32mm, 12mm and 7mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 9""}",,,pending_review,,
RegalFrame knockdown doorframes to suit stud construction,,,Standard frame dimensions - 95mm back opening,Standard frame dimensions - 95mm back opening,,"Back Opening 95mm; A 29.5; Overall Dimension 154x62; section drawing includes 154mm, 62mm, 41mm, 32mm, 12mm and 7mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 9""}",,,pending_review,,
RegalFrame knockdown doorframes to suit stud construction,,,Standard frame dimensions - 102mm back opening,Standard frame dimensions - 102mm back opening,,"Back Opening 102mm; A 26; Overall Dimension 154x62; section drawing includes 154mm, 62mm, 41mm, 32mm, 12mm and 7mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 9""}",,,pending_review,,
RegalFrame knockdown doorframes to suit stud construction,,,Standard frame dimensions - 114mm back opening,Standard frame dimensions - 114mm back opening,,"Back Opening 114mm; A 20; Overall Dimension 154x62; section drawing includes 154mm, 62mm, 41mm, 32mm, 12mm and 7mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 9""}",,,pending_review,,
RegalFrame knockdown doorframes to suit stud construction,,,Slider frame dimensions - 95mm back opening,Slider frame dimensions - 95mm back opening,,Back Opening 95mm; A 29.5; section drawing includes 154mm and 50mm dimensions,,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 9""}",,,pending_review,,
RegalFrame knockdown doorframes to suit stud construction,,,Slider frame dimensions - 114mm back opening,Slider frame dimensions - 114mm back opening,,Back Opening 114mm; A 20; section drawing includes 154mm and 50mm dimensions,,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 9""}",,,pending_review,,
JDS Deluxe knockdown doorframes to suit stud construction,,,Standard frame dimensions - 95mm back opening,Standard frame dimensions - 95mm back opening,,"Back Opening 95mm; A 115; B 143; section drawing includes 44mm, 36mm, 24mm, 14mm and 8mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 10""}",,,pending_review,,
JDS Deluxe knockdown doorframes to suit stud construction,,,Standard frame dimensions - 114mm back opening,Standard frame dimensions - 114mm back opening,,"Back Opening 114mm; A 134; B 162; section drawing includes 44mm, 36mm, 24mm, 14mm and 8mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 10""}",,,pending_review,,
JDS Deluxe knockdown doorframes to suit stud construction,,,Slider frame dimensions - 95mm back opening,Slider frame dimensions - 95mm back opening,,"Back Opening 95mm; A 33; B 143; section drawing includes 44mm, 41mm, 36mm, 24mm, 14mm and 8mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 10""}",,,pending_review,,
JDS Deluxe knockdown doorframes to suit stud construction,,,Slider frame dimensions - 114mm back opening,Slider frame dimensions - 114mm back opening,,"Back Opening 114mm; A 52; B 162; section drawing includes 44mm, 41mm, 36mm, 24mm, 14mm and 8mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 10""}",,,pending_review,,
TenBend knockdown doorframes to suit stud construction,,,Standard frame dimensions - 89mm back opening,Standard frame dimensions - 89mm back opening,,"Back Opening 89mm; A 45; Overall Dimension 127x52; section drawing includes 41mm, 40mm, 19mm, 12mm and 6mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 11""}",,,pending_review,,
