id,manufacturer_id,source_document_id,source_chunk_id,production_system_id,name,product_code,slug,category,subcategory,description,dimensions,length_m,double_sided,sheet_format,hero_image_url,website_url,source_label,source_url,fire_rating,bal_rating,acoustic_rating,moisture_resistant,structural_grade,install_guide_url,tech_data_url,notes,parser_notes,sort_order,extraction_confidence,extracted_at,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
,,,,,RegalFrame metal doorframes to suit brick construction,,regalframe-metal-doorframes-brick-construction,Metal Doorframes,Brick construction,Welded RegalFrame with built-in architrave; made from 1.05mm Zincanneal; available in 95 or 114mm back opening.,Standard and slider frame dimensions shown for 95mm and 114mm back openings; standard door heights 2040mm and 2340mm.,,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 4",,,,,,,,,,,,,,pending_review,,,,,
,,,,,JDS Deluxe metal doorframes to suit brick construction,,jds-deluxe-metal-doorframes-brick-construction,Metal Doorframes,Brick construction,Welded JDS Deluxe metal doorframe; made from 1.05mm Zincanneal; available in 95 or 114mm back opening.,Standard and slider frame dimensions shown for 95mm and 114mm back openings; standard door heights 2040mm and 2340mm.,,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 5",,,,,,,,,,,,,,pending_review,,,,,
,,,,,JDS Modular metal doorframes to suit brick construction,,jds-modular-metal-doorframes-brick-construction,Metal Doorframes,Brick construction,Welded Modular metal doorframe; made from 1.05mm Zincanneal; available in 95 or 114mm back opening.,Standard and slider frame dimensions shown for 95mm and 114mm back openings; standard door heights 2040mm and 2340mm.,,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 6",,,,,,,,,,,,,,pending_review,,,,,
,,,,,Negative Rebate metal doorframes to suit brick construction,,negative-rebate-metal-doorframes-brick-construction,Metal Doorframes,Brick construction,Negative Rebate doorframe with clean square lines and negative rebate; made from 1.1mm Zincanneal; available in 92mm back opening.,92mm back opening; technical section drawing shown on page 7.,,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 7",,,,,,,,,,,,,,pending_review,,,,,
,,,,,RegalFrame knockdown doorframes to suit stud construction,,regalframe-knockdown-doorframes-stud-construction,Metal Doorframes,Stud construction knockdown,"RegalFrame knockdown doorframe; comes in 3 pieces consisting of head, hinge stile and striker stile; made from 1.0mm Zincanneal.","Back openings 89mm, 95mm, 102mm and 114mm; overall dimension 154x62 for standard frame dimensions; stud opening add 40mm to door height and width.",,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 9",,,,,,,,,,,,,,pending_review,,,,,
,,,,,JDS Deluxe knockdown doorframes to suit stud construction,,jds-deluxe-knockdown-doorframes-stud-construction,Metal Doorframes,Stud construction knockdown,"JDS Deluxe knockdown doorframe; comes in 3 pieces consisting of head, hinge stile and striker stile; made from 1.05mm Zincanneal.",Standard and slider frame dimensions shown for 95mm and 114mm back openings; stud opening add 40mm to door height and width.,,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 10",,,,,,,,,,,,,,pending_review,,,,,
,,,,,TenBend knockdown doorframes to suit stud construction,,tenbend-knockdown-doorframes-stud-construction,Metal Doorframes,Stud construction knockdown,"TenBend knockdown doorframe; comes in 3 pieces consisting of head, hinge stile and striker stile; made from 1.0mm Zincanneal.","Standard frame dimensions shown for 89mm, 95mm, 102mm and 114mm back openings; slider frame dimensions shown for 95mm and 114mm back openings.",,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 11",,,,,,,,,,,,,,pending_review,,,,,
,,,,,Cavity Slider knockdown kit,,cavity-slider-knockdown-kit,Metal Doorframes,Cavity slider kit,"Knockdown metal cavity slider frame for timber or metal stud frame construction; manufactured from 1.0mm Zincanneal with 114mm back opening; unit comes complete with track system to suit up to a 35mm thick, 100kg door.","Standard 114mm back opening; door heights 2040mm or 2340mm; cavity slider unit door widths single 720, 820, 870, 920, 1020 and 1200mm; doubles 2 x 720, 2 x 820, 2 x 870 and 2 x 920mm.",,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, pages 12-13 and 18",,,,,,,,,,,,,,pending_review,,,,,
,,,,,Standard Split metal doorframes,,standard-split-metal-doorframes,Metal Doorframes,Split frame,Split metal doorframe with 50mm architrave; made from 1.2mm Zincanneal; frame comes in 2 separate fully welded sections strapped together for transport.,"Back opening 85-125mm A 60; back opening 125-150mm A 85; also available in 70-85mm, 150-200mm and 200mm+ back opening.",,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 14",,,,,,,,,,,,,,pending_review,,,,,
,,,,,3 Section Split metal doorframes,,3-section-split-metal-doorframes,Metal Doorframes,3 section split frame,3 Section Split metal doorframe; made from 1.2mm Zincanneal; 50mm architrave matches standard split doorframe.,Minimum back opening 160mm; coverplate to suit wall thickness; stud opening add 35mm to door height and 30mm to door width.,,,,,www.jdsmetaldoorframes.com.au,"JDS Catalogue 2020, page 15",,,,,,,,,,,,,,pending_review,,,,,
