table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
public,data_studio_manufacturers,1,id,uuid,uuid,NO,gen_random_uuid()
public,data_studio_manufacturers,2,production_manufacturer_id,uuid,uuid,YES,null
public,data_studio_manufacturers,3,name,text,text,NO,null
public,data_studio_manufacturers,4,slug,text,text,NO,null
public,data_studio_manufacturers,5,website_url,text,text,YES,null
public,data_studio_manufacturers,6,logo_url,text,text,YES,null
public,data_studio_manufacturers,7,hero_image_url,text,text,YES,null
public,data_studio_manufacturers,8,description,text,text,YES,null
public,data_studio_manufacturers,9,abn,text,text,YES,null
public,data_studio_manufacturers,10,phone,text,text,YES,null
public,data_studio_manufacturers,11,status,text,text,NO,'draft'::text
public,data_studio_manufacturers,12,created_at,timestamp with time zone,timestamptz,NO,now()
public,data_studio_manufacturers,13,updated_at,timestamp with time zone,timestamptz,NO,now()
public,data_studio_user_profiles,1,id,uuid,uuid,NO,gen_random_uuid()
public,data_studio_user_profiles,2,auth_user_id,uuid,uuid,NO,null
public,data_studio_user_profiles,3,email,text,text,NO,null
public,data_studio_user_profiles,4,full_name,text,text,YES,null
public,data_studio_user_profiles,5,global_role,text,text,NO,'manufacturer_user'::text
public,data_studio_user_profiles,6,status,text,text,NO,'active'::text
public,data_studio_user_profiles,7,created_at,timestamp with time zone,timestamptz,NO,now()
public,data_studio_user_profiles,8,updated_at,timestamp with time zone,timestamptz,NO,now()
public,document_chunks,1,id,uuid,uuid,NO,gen_random_uuid()
public,document_chunks,2,source_document_id,uuid,uuid,NO,null
public,document_chunks,3,document_page_id,uuid,uuid,YES,null
public,document_chunks,4,extraction_run_id,uuid,uuid,YES,null
public,document_chunks,5,page_number,integer,int4,YES,null
public,document_chunks,6,chunk_index,integer,int4,NO,null
public,document_chunks,7,heading,text,text,YES,null
public,document_chunks,8,chunk_type,text,text,YES,null
public,document_chunks,9,raw_text,text,text,YES,null
public,document_chunks,10,table_json,jsonb,jsonb,YES,null
public,document_chunks,11,docling_json,jsonb,jsonb,YES,null
public,document_chunks,12,confidence,numeric,numeric,YES,null
public,document_chunks,13,created_at,timestamp with time zone,timestamptz,NO,now()
public,document_pages,1,id,uuid,uuid,NO,gen_random_uuid()
public,document_pages,2,source_document_id,uuid,uuid,NO,null
public,document_pages,3,page_number,integer,int4,NO,null
public,document_pages,4,page_image_storage_key,text,text,YES,null
public,document_pages,5,page_text,text,text,YES,null
public,document_pages,6,docling_json,jsonb,jsonb,YES,null
public,document_pages,7,created_at,timestamp with time zone,timestamptz,NO,now()
public,extraction_runs,1,id,uuid,uuid,NO,gen_random_uuid()
public,extraction_runs,2,source_document_id,uuid,uuid,NO,null
public,extraction_runs,3,run_type,text,text,NO,null
public,extraction_runs,4,status,text,text,NO,'queued'::text
public,extraction_runs,5,tool_name,text,text,YES,null
public,extraction_runs,6,tool_version,text,text,YES,null
public,extraction_runs,7,model_name,text,text,YES,null
public,extraction_runs,8,started_at,timestamp with time zone,timestamptz,YES,null
public,extraction_runs,9,completed_at,timestamp with time zone,timestamptz,YES,null
public,extraction_runs,10,error_message,text,text,YES,null
public,extraction_runs,11,created_at,timestamp with time zone,timestamptz,NO,now()
public,field_verifications,1,id,uuid,uuid,NO,gen_random_uuid()
public,field_verifications,2,entity_type,text,text,NO,null
public,field_verifications,3,entity_id,uuid,uuid,NO,null
public,field_verifications,4,field_name,text,text,NO,null
public,field_verifications,5,extracted_value,text,text,YES,null
public,field_verifications,6,verified_value,text,text,YES,null
public,field_verifications,7,source_document_id,uuid,uuid,YES,null
public,field_verifications,8,source_page_id,uuid,uuid,YES,null
public,field_verifications,9,source_chunk_id,uuid,uuid,YES,null
public,field_verifications,10,source_page_number,integer,int4,YES,null
public,field_verifications,11,status,text,text,NO,'pending'::text
public,field_verifications,12,confidence,numeric,numeric,YES,null
public,field_verifications,13,reviewer_id,uuid,uuid,YES,null
public,field_verifications,14,reviewed_at,timestamp with time zone,timestamptz,YES,null
public,field_verifications,15,notes,text,text,YES,null
public,field_verifications,16,created_at,timestamp with time zone,timestamptz,NO,now()
public,field_verifications,17,updated_at,timestamp with time zone,timestamptz,NO,now()
public,manufacturer_users,1,id,uuid,uuid,NO,gen_random_uuid()
public,manufacturer_users,2,manufacturer_id,uuid,uuid,NO,null
public,manufacturer_users,3,auth_user_id,uuid,uuid,YES,null
public,manufacturer_users,4,email,text,text,NO,null
public,manufacturer_users,5,role,text,text,NO,'manufacturer_reviewer'::text
public,manufacturer_users,6,status,text,text,NO,'invited'::text
public,manufacturer_users,7,created_at,timestamp with time zone,timestamptz,NO,now()
public,manufacturer_users,8,user_profile_id,uuid,uuid,YES,null
public,manufacturer_users,9,invited_by,uuid,uuid,YES,null
public,manufacturer_users,10,invited_at,timestamp with time zone,timestamptz,YES,now()
public,manufacturer_users,11,accepted_at,timestamp with time zone,timestamptz,YES,null
public,manufacturer_users,12,last_active_at,timestamp with time zone,timestamptz,YES,null
public,manufacturer_users,13,updated_at,timestamp with time zone,timestamptz,NO,now()
public,parser_field_evidence,1,id,uuid,uuid,NO,gen_random_uuid()
public,parser_field_evidence,2,extraction_run_id,uuid,uuid,NO,null
public,parser_field_evidence,3,entity_type,text,text,NO,null
public,parser_field_evidence,4,entity_id,uuid,uuid,NO,null
public,parser_field_evidence,5,field_name,text,text,NO,null
public,parser_field_evidence,6,extracted_value,text,text,YES,null
public,parser_field_evidence,7,source_document_id,uuid,uuid,YES,null
public,parser_field_evidence,8,source_page_number,integer,int4,YES,null
public,parser_field_evidence,9,source_chunk_id,uuid,uuid,YES,null
public,parser_field_evidence,10,confidence,numeric,numeric,YES,null
public,parser_field_evidence,11,is_uncertain,boolean,bool,NO,false
public,parser_field_evidence,12,parser_note,text,text,YES,null
public,parser_field_evidence,13,created_at,timestamp with time zone,timestamptz,NO,now()
public,publish_batch_items,1,id,uuid,uuid,NO,gen_random_uuid()
public,publish_batch_items,2,publish_batch_id,uuid,uuid,NO,null
public,publish_batch_items,3,entity_type,text,text,NO,null
public,publish_batch_items,4,entity_id,uuid,uuid,NO,null
public,publish_batch_items,5,production_table,text,text,YES,null
public,publish_batch_items,6,production_id,uuid,uuid,YES,null
public,publish_batch_items,7,status,text,text,NO,'pending'::text
public,publish_batch_items,8,error_message,text,text,YES,null
public,publish_batch_items,9,created_at,timestamp with time zone,timestamptz,NO,now()
public,publish_batches,1,id,uuid,uuid,NO,gen_random_uuid()
public,publish_batches,2,manufacturer_id,uuid,uuid,YES,null
public,publish_batches,3,status,text,text,NO,'draft'::text
public,publish_batches,4,export_type,text,text,NO,'csv'::text
public,publish_batches,5,production_project_ref,text,text,YES,null
public,publish_batches,6,created_by,uuid,uuid,YES,null
public,publish_batches,7,created_at,timestamp with time zone,timestamptz,NO,now()
public,publish_batches,8,approved_at,timestamp with time zone,timestamptz,YES,null
public,publish_batches,9,published_at,timestamp with time zone,timestamptz,YES,null
public,publish_batches,10,notes,text,text,YES,null
public,source_documents,1,id,uuid,uuid,NO,gen_random_uuid()
public,source_documents,2,manufacturer_id,uuid,uuid,NO,null
public,source_documents,3,original_filename,text,text,NO,null
public,source_documents,4,document_name,text,text,NO,null
public,source_documents,5,document_type,text,text,YES,null
public,source_documents,6,document_date,text,text,YES,null
public,source_documents,7,storage_provider,text,text,NO,'cloudflare_r2'::text
public,source_documents,8,storage_bucket,text,text,YES,null
public,source_documents,9,storage_key,text,text,YES,null
public,source_documents,10,public_url,text,text,YES,null
public,source_documents,11,file_mime_type,text,text,YES,null
public,source_documents,12,file_size_bytes,bigint,int8,YES,null
public,source_documents,13,status,text,text,NO,'uploaded'::text
public,source_documents,14,uploaded_by,uuid,uuid,YES,null
public,source_documents,15,uploaded_at,timestamp with time zone,timestamptz,NO,now()
public,source_documents,16,notes,text,text,YES,null
public,staged_components,1,id,uuid,uuid,NO,gen_random_uuid()
public,staged_components,2,manufacturer_id,uuid,uuid,NO,null
public,staged_components,3,source_document_id,uuid,uuid,YES,null
public,staged_components,4,source_chunk_id,uuid,uuid,YES,null
public,staged_components,5,production_component_id,uuid,uuid,YES,null
public,staged_components,6,sku,text,text,YES,null
public,staged_components,7,name,text,text,NO,null
public,staged_components,8,description,text,text,YES,null
public,staged_components,9,category,text,text,YES,null
public,staged_components,10,uom,text,text,YES,null
public,staged_components,11,length_mm,numeric,numeric,YES,null
public,staged_components,12,width_mm,numeric,numeric,YES,null
public,staged_components,13,height_mm,numeric,numeric,YES,null
public,staged_components,14,thickness_mm,numeric,numeric,YES,null
public,staged_components,15,depth_mm,numeric,numeric,YES,null
public,staged_components,16,gauge_mm,numeric,numeric,YES,null
public,staged_components,17,diameter_mm,numeric,numeric,YES,null
public,staged_components,18,roll_m,numeric,numeric,YES,null
public,staged_components,19,weight_kg,numeric,numeric,YES,null
public,staged_components,20,pieces,integer,int4,YES,null
public,staged_components,21,material,text,text,YES,null
public,staged_components,22,finish,text,text,YES,null
public,staged_components,23,colour,text,text,YES,null
public,staged_components,24,profile,text,text,YES,null
