table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
card_events,1,id,uuid,uuid,NO,gen_random_uuid()
card_events,2,manufacturer_id,uuid,uuid,NO,null
card_events,3,card_id,uuid,uuid,YES,null
card_events,4,card_slug,text,text,NO,null
card_events,5,version,integer,int4,YES,null
card_events,6,event_type,text,text,NO,null
card_events,7,channel,text,text,YES,null
card_events,8,sender_tag,text,text,YES,null
card_events,9,share_token,text,text,YES,null
card_events,10,host_domain,text,text,YES,null
card_events,11,doc_label,text,text,YES,null
card_events,12,doc_url,text,text,YES,null
card_events,13,device_hash,text,text,YES,null
card_events,14,created_at,timestamp with time zone,timestamptz,NO,now()
card_package_items,1,id,uuid,uuid,NO,gen_random_uuid()
card_package_items,2,package_id,uuid,uuid,NO,null
card_package_items,3,card_id,uuid,uuid,NO,null
card_package_items,4,package_slug,text,text,NO,null
card_package_items,5,generated_card_path,text,text,YES,null
card_package_items,6,generated_json_path,text,text,YES,null
card_package_items,7,qr_code_path,text,text,YES,null
card_package_items,8,status,text,text,NO,'included'::text
card_package_items,9,error_message,text,text,YES,null
card_package_items,10,created_at,timestamp with time zone,timestamptz,NO,now()
card_packages,1,id,uuid,uuid,NO,gen_random_uuid()
card_packages,2,manufacturer_id,uuid,uuid,NO,null
card_packages,3,package_version,integer,int4,NO,1
card_packages,4,status,text,text,NO,'generating'::text
card_packages,5,intended_install_path,text,text,NO,'/system-cards/'::text
card_packages,6,zip_storage_key,text,text,YES,null
card_packages,7,zip_url,text,text,YES,null
card_packages,8,manifest_url,text,text,YES,null
card_packages,9,feed_url,text,text,YES,null
card_packages,10,preview_url,text,text,YES,null
card_packages,11,checksum,text,text,YES,null
card_packages,12,file_size_bytes,bigint,int8,YES,null
card_packages,13,card_count,integer,int4,NO,0
card_packages,14,error_message,text,text,YES,null
card_packages,15,build_log,text,text,YES,null
card_packages,16,generated_at,timestamp with time zone,timestamptz,YES,null
card_packages,17,generated_by,uuid,uuid,YES,null
card_packages,18,downloaded_at,timestamp with time zone,timestamptz,YES,null
card_packages,19,created_at,timestamp with time zone,timestamptz,NO,now()
card_packages,20,updated_at,timestamp with time zone,timestamptz,NO,now()
card_share_links,1,id,uuid,uuid,NO,gen_random_uuid()
card_share_links,2,manufacturer_id,uuid,uuid,NO,null
card_share_links,3,card_id,uuid,uuid,YES,null
card_share_links,4,card_slug,text,text,NO,null
card_share_links,5,token,text,text,NO,null
card_share_links,6,channel,text,text,NO,'copy'::text
card_share_links,7,sender_tag,text,text,YES,null
card_share_links,8,created_at,timestamp with time zone,timestamptz,NO,now()
card_versions,1,id,uuid,uuid,NO,gen_random_uuid()
card_versions,2,manufacturer_id,uuid,uuid,NO,null
card_versions,3,card_id,uuid,uuid,NO,null
card_versions,4,package_id,uuid,uuid,YES,null
card_versions,5,version,integer,int4,NO,null
card_versions,6,slug,text,text,NO,null
card_versions,7,name,text,text,NO,null
card_versions,8,card_json,jsonb,jsonb,NO,null
card_versions,9,stockists_json,jsonb,jsonb,YES,null
card_versions,10,validated_by,text,text,YES,null
card_versions,11,validated_at,timestamp with time zone,timestamptz,YES,null
card_versions,12,created_at,timestamp with time zone,timestamptz,NO,now()
data_studio_manufacturers,1,id,uuid,uuid,NO,gen_random_uuid()
data_studio_manufacturers,2,production_manufacturer_id,uuid,uuid,YES,null
data_studio_manufacturers,3,name,text,text,NO,null
data_studio_manufacturers,4,slug,text,text,NO,null
data_studio_manufacturers,5,website_url,text,text,YES,null
data_studio_manufacturers,6,logo_url,text,text,YES,null
data_studio_manufacturers,7,hero_image_url,text,text,YES,null
data_studio_manufacturers,8,description,text,text,YES,null
data_studio_manufacturers,9,abn,text,text,YES,null
data_studio_manufacturers,10,phone,text,text,YES,null
data_studio_manufacturers,11,status,text,text,NO,'draft'::text
data_studio_manufacturers,12,created_at,timestamp with time zone,timestamptz,NO,now()
data_studio_manufacturers,13,updated_at,timestamp with time zone,timestamptz,NO,now()
data_studio_manufacturers,14,hero_image_position_y,smallint,int2,NO,50
data_studio_manufacturers,15,pending_contact_full_name,text,text,YES,null
data_studio_manufacturers,16,pending_contact_email_primary,text,text,YES,null
data_studio_manufacturers,17,pending_contact_email_secondary,text,text,YES,null
data_studio_manufacturers,18,pending_contact_login_preference,text,text,NO,'primary'::text
data_studio_manufacturers,19,hero_wide_image_url,text,text,YES,null
data_studio_manufacturers,20,hero_wide_image_position_y,smallint,int2,NO,50
data_studio_manufacturers,21,widget_button_config,jsonb,jsonb,NO,"'{""show_find_stockist"": true, ""show_request_quote"": true, ""show_general_enquiry"": true}'::jsonb"
data_studio_manufacturers,22,logo_asset_id,uuid,uuid,YES,null
data_studio_manufacturers,23,hero_image_asset_id,uuid,uuid,YES,null
data_studio_manufacturers,24,hero_wide_image_asset_id,uuid,uuid,YES,null
data_studio_user_profiles,1,id,uuid,uuid,NO,gen_random_uuid()
data_studio_user_profiles,2,auth_user_id,uuid,uuid,NO,null
data_studio_user_profiles,3,email,text,text,NO,null
data_studio_user_profiles,4,full_name,text,text,YES,null
data_studio_user_profiles,5,global_role,text,text,NO,'manufacturer_user'::text
data_studio_user_profiles,6,status,text,text,NO,'active'::text
data_studio_user_profiles,7,created_at,timestamp with time zone,timestamptz,NO,now()
data_studio_user_profiles,8,updated_at,timestamp with time zone,timestamptz,NO,now()
data_studio_user_profiles,9,company_email_primary,text,text,YES,null
data_studio_user_profiles,10,company_email_secondary,text,text,YES,null
data_studio_user_profiles,11,login_email_preference,text,text,NO,'primary'::text
document_chunks,1,id,uuid,uuid,NO,gen_random_uuid()
document_chunks,2,source_document_id,uuid,uuid,NO,null
document_chunks,3,document_page_id,uuid,uuid,YES,null
document_chunks,4,extraction_run_id,uuid,uuid,YES,null
document_chunks,5,page_number,integer,int4,YES,null
document_chunks,6,chunk_index,integer,int4,NO,null
document_chunks,7,heading,text,text,YES,null
document_chunks,8,chunk_type,text,text,YES,null
document_chunks,9,raw_text,text,text,YES,null
document_chunks,10,table_json,jsonb,jsonb,YES,null
document_chunks,11,docling_json,jsonb,jsonb,YES,null
document_chunks,12,confidence,numeric,numeric,YES,null
document_chunks,13,created_at,timestamp with time zone,timestamptz,NO,now()
document_pages,1,id,uuid,uuid,NO,gen_random_uuid()
document_pages,2,source_document_id,uuid,uuid,NO,null
document_pages,3,page_number,integer,int4,NO,null
document_pages,4,page_image_storage_key,text,text,YES,null
document_pages,5,page_text,text,text,YES,null
document_pages,6,docling_json,jsonb,jsonb,YES,null
document_pages,7,created_at,timestamp with time zone,timestamptz,NO,now()
extraction_runs,1,id,uuid,uuid,NO,gen_random_uuid()
extraction_runs,2,source_document_id,uuid,uuid,NO,null
extraction_runs,3,run_type,text,text,NO,null
extraction_runs,4,status,text,text,NO,'queued'::text
extraction_runs,5,tool_name,text,text,YES,null
extraction_runs,6,tool_version,text,text,YES,null
extraction_runs,7,model_name,text,text,YES,null
extraction_runs,8,started_at,timestamp with time zone,timestamptz,YES,null
extraction_runs,9,completed_at,timestamp with time zone,timestamptz,YES,null
extraction_runs,10,error_message,text,text,YES,null
extraction_runs,11,created_at,timestamp with time zone,timestamptz,NO,now()
field_verifications,1,id,uuid,uuid,NO,gen_random_uuid()
field_verifications,2,entity_type,text,text,NO,null
field_verifications,3,entity_id,uuid,uuid,NO,null
field_verifications,4,field_name,text,text,NO,null
field_verifications,5,extracted_value,text,text,YES,null
field_verifications,6,verified_value,text,text,YES,null
field_verifications,7,source_document_id,uuid,uuid,YES,null
field_verifications,8,source_page_id,uuid,uuid,YES,null
field_verifications,9,source_chunk_id,uuid,uuid,YES,null
field_verifications,10,source_page_number,integer,int4,YES,null
field_verifications,11,status,text,text,NO,'pending'::text
field_verifications,12,confidence,numeric,numeric,YES,null
