tablename,policyname,cmd,roles,qual,with_check
card_events,buildquote staff can read all card events,SELECT,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
card_events,manufacturer_user can read own card events,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = card_events.manufacturer_id) AND (mu.status = 'active'::text))))",null
card_package_items,buildquote staff can create package items,INSERT,{authenticated},null,"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
card_package_items,manufacturer_user can create own package items,INSERT,{authenticated},null,"(EXISTS ( SELECT 1
   FROM (card_packages cp
     JOIN manufacturer_users mu ON ((mu.manufacturer_id = cp.manufacturer_id)))
  WHERE ((cp.id = card_package_items.package_id) AND (mu.auth_user_id = auth.uid()) AND (mu.status = 'active'::text))))"
card_package_items,buildquote staff can read all package items,SELECT,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
card_package_items,manufacturer_user can read own package items,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM (card_packages cp
     JOIN manufacturer_users mu ON ((mu.manufacturer_id = cp.manufacturer_id)))
  WHERE ((cp.id = card_package_items.package_id) AND (mu.auth_user_id = auth.uid()) AND (mu.status = 'active'::text))))",null
card_packages,buildquote staff can create packages,INSERT,{authenticated},null,"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))"
card_packages,manufacturer_user can create own packages,INSERT,{authenticated},null,"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = card_packages.manufacturer_id) AND (mu.status = 'active'::text))))"
card_packages,buildquote staff can read all packages,SELECT,{authenticated},"(get_my_global_role() = ANY (ARRAY['buildquote_admin'::text, 'buildquote_reviewer'::text]))",null
card_packages,manufacturer_user can read own packages,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM manufacturer_users mu
  WHERE ((mu.auth_user_id = auth.uid()) AND (mu.manufacturer_id = card_packages.manufacturer_id) AND (mu.status = 'active'::text))))",null
